"field_name","field_description"
"\"AbsorbanceDetector\",\"The device used to measure the optical absorbance.\""
"\"AbsorbanceDetector\",\"The type of detector available to measure the absorbance of light shown through the separated sample. Diode measures overall absorbance of light going through the flow path. CCDArray splits the light and measures the absorbance of different wavelengths with different pixels in an array.\""
"\"AbsorbanceDetector\",\"The type of detector available to measure the absorbance.\""
"\"AbsorbanceFilterType\",\"The method by which certain wavelengths of light are selected for absorbance measurement. Filter restricts the measured wavelengths to those that can pass through a filter. Monochrometer uses an optical device that dynamically restricts the measured wavelengths to a very narrow band. With Array, the light is split, different pixels in an array measure the absorbance of different wavelengths of light, and the measurements from each pixel are recorded. BandpassArray also splits the light as an array does, but only records average absorbance from pixels collecting specified wavelength ranges.\""
"\"AbsorbanceFilterType\",\"The type of wavelength selection available for absorbance measurement.\""
"\"AbsorbanceFilterTypes\",\"The types of wavelength selection available for absorbance measurement.\""
"\"AbsorbanceResolution\",\"The minimum increment in wavelength that the absorbance detector can measure.\""
"\"AbsorbanceWavelengthBandpass\",\"The range of wavelengths centered around the desired wavelength that the absorbance detector will measure. For e.g. if the bandpass is 10nm and the desired measurement wavelength is 260nm, the detector will measure wavelengths from 255nm - 265nm.\""
"\"AbsorbanceWavelengthBandpass\",\"The range of wavelengths centered around the desired wavelength that the absorbance detector will measure. For example, if the bandpass is 10nm and the desired measurement wavelength is 260nm, the detector will measure the average absorbance from 255nm - 265nm.\""
"\"AbsorbanceWavelengthResolution\",\"The resolution available in selecting the absorbance wavelength to measure.\""
"\"Acid\",\"Indicates if items of this model are strong acids (pH <= 2) and require dedicated secondary containment during storage.\""
"\"Acid\",\"Indicates if pure samples of this molecule are strong acids (pH <= 2).\""
"\"Acid\",\"Indicates if samples of this model are strong acids (pH <= 2) and require dedicated secondary containment during storage.\""
"\"Acid\",\"Indicates if this storage condition is meant to contain acid samples requiring dedicated secondary containment.\""
"\"AcquisitionModes\",\"Data acquisition functions that can be performed on this instrument.\""
"\"AcquisitionModes\",\"The capability of the instrument to measure only intact ions (MS) versus fragments of ions (MS/MS).\""
"\"AcquisitionTimeControl\",\"Indicates whether the acquistion can be temporally controlled.\""
"\"ActiveHumidityControl\",\"Indicates if the microscope is fitted with a chamber that can maintain humidity at a specified percentage (or alternatively if the humidity is dependent on the temperature) while imaging.\""
"\"AffinityLabel\",\"Indicates whether this molecule has high binding capacity with certain material and can be attached to another molecule (e.g. His Tag).\""
"\"AirFilter\",\"Filter that is used to filter air when drying the labware.\""
"\"AllowedPositions\",\"Generates a pattern of all the valid position names for this model of container.\""
"\"AllowedPositions\",\"Generates a pattern of all the valid position names for this model of instrument.\""
"\"AllowedPositions\",\"The positions in which this container can accept contents, defined by and pulled from the container's Model.\""
"\"AlphaScreenEmissionFilter\",\"The optical filter used on the emission path for AlphaScreen.\""
"\"AlphaScreenExcitationLaserWavelength\",\"The laser used as the excitation source for AlphaScreen.\""
"\"Alphabet\",\"The possible monomers for this oligomer set.\""
"\"AlternativeDegenerateEncodings\",\"Additional symbolic representations for the degenerate alphabet, each of which can be used in place of the standard degenerate alphabet and will be treated as equivalent, in the form: {Alternative Degenerate Symbol -> Degenerate Alphabet Symbol..}.\""
"\"AlternativeEncodings\",\"Additional symbolic representations for the alphabet, each of which can be used in place of the standard alphabet and will be treated as equivalent, in the form: {Alternative Alphabet Monomer -> Alphabet Monomer..}.\""
"\"AlternativeForms\",\"Models of other samples with different grades, hydration states, monobasic/dibasic forms, etc.\""
"\"AlternativePreparations\",\"Stock solution models that have the same formula components and component ratios as this stock solution. These alternative stock solutions may have different preparatory methods.\""
"\"Ampoule\",\"Indicates a sealed vessel containing a measured quantity of substance, meant for single-use.\""
"\"AnalysisChannel\",\"The flow path in the instrument for which this column is suitable for IonChrmatography experiments, e.g. either cation channel or anion channel.\""
"\"AnalysisChannels\",\"The number of distinct flow paths in the instrument for analyzing anions and cations separately.\""
"\"AnalyteMolecules\",\"For each member of AnalyteNames, the identity model(s) of the molecule(s) (e.g., peptides, proteins, antibodies, hormones) detected in the ELISA assay using this capillary ELISA cartridge model.\""
"\"AnalyteNames\",\"The manufacturer's listed name(s) of the ELISA analyte(s) (e.g., peptides, proteins, antibodies, hormones) detected in the ELISA assay using this capillary ELISA cartridge model.\""
"\"Analytes\",\"The molecular identities of primary interest in this model.\""
"\"Anhydrous\",\"Indicates if samples of this model do not contain water.\""
"\"AnionDetector\",\"A list of the available detectors on the instrument for anion channel.\""
"\"AnionMaxColumnLength\",\"The maximum column length that can be accommodated inside of the column oven for anion channel.\""
"\"AnionMaxColumnOutsideDiameter\",\"The maximum column outside diameter that can be accommodated inside of the detector/chromatography module for anion channel.\""
"\"AnionMaxColumnTemperature\",\"The maximum temperature at which the column oven can incubate for anion channel.\""
"\"AnionMaxDetectionTemperature\",\"The maximum temperature at which the detector can incubate for anion channel.\""
"\"AnionMinColumnTemperature\",\"The minimum temperature at which the column oven can incubate for anion channel.\""
"\"AnionMinDetectionTemperature\",\"The minimum temperature at which the detector can incubate for anion channel.\""
"\"AnionNumberOfBuffers\",\"The number of different Buffers that can be connected to the pump system for anion channel. Refer to AnionPumpType for the number of solvents that can actually be mixed simultaneously.\""
"\"AnionPumpMaxPressure\",\"The maximum pressure at which the pump can operate for anion channel.\""
"\"AnionPumpMinPressure\",\"The minimum pressure at which the pump can operate for anion channel.\""
"\"AnionPumpType\",\"The number of solvents that can be blended with each other at a ratio for anion channel during the gradient (e.g. binary can mix 2 solvents and isocratic cannot mix multiple solvents).\""
"\"AnionSuppressor\",\"The suppressor that converts high ionic strength buffers into water prior to detection that is integrated in the flow path of anion channel in the Ion Chromatography system.\""
"\"AnionSystemFlushGradient\",\"The gradient used to purge the instrument lines at the end of an IonChromatography protocol for anion channel.\""
"\"AnionSystemPrimeGradient\",\"The gradient used to purge the instrument lines at the start of an IonChromatography protocol for anion channel.\""
"\"AnodeMaterial\",\"The material of which the anode that generates the radiation is made.\""
"\"AntibodyDrugConjugateFilter\",\"Indicates if instrument equipped with 458nm filter for specific Antibody-Drug Conjugate assays.\""
"\"Aperture\",\"The minimum opening diameter encountered when aspirating from the container.\""
"\"Aqueous\",\"Indicates if samples of this model are a solution in water.\""
"\"AspectRatio\",\"Ratio of the number of columns of positions vs the number of rows of positions in the rack.\""
"\"AspectRatio\",\"Ratio of the number of columns of wells vs the number of rows of wells on the plate.\""
"\"Aspiratable\",\"Indicates if this samples can be transferred out of this container when it is not Covered.\""
"\"AspirationCaps\",\"The models of caps with integrated tubing that can be used to transfer liquids into and out of this container.\""
"\"AspirationDepth\",\"The maximum depth from which these pipette tips can aspirate at a given source container aperture.\""
"\"AspirationEquilibrationTime\",\"The delay length the pipette waits after aspirating before it is removed from the liquid.\""
"\"AspirationMixRate\",\"The speed at which liquid is aspirated and dispensed in a liquid before it is aspirated.\""
"\"AspirationRate\",\"The speed at which liquid should be drawn up into the pipette tip.\""
"\"AspirationWithdrawalRate\",\"The speed at which the pipette is removed from the liquid after an aspiration.\""
"\"AssociatedAccessories\",\"Items installed with the instrument for full function.\""
"\"AtmosphericCondition\",\"Indicates the atmospheric condition under which the samples are stored, for instance if the storage environment is held under vacuum or at ambient atmospheric pressure, or if the samples are kept in an inert atmosphere of argon or nitrogen gas.\""
"\"Authors\",\"The people who created this model.\""
"\"Authors\",\"The person who created this item model.\""
"\"Authors\",\"The person who created this model.\""
"\"Authors\",\"The person who created this part model.\""
"\"Authors\",\"The person(s) who created this instrument model.\""
"\"Authors\",\"The users who generated this model.\""
"\"AutoclavePrograms\",\"The sterilization programs the autoclave can run.\""
"\"Autoclave\",\"Indicates that this model of stock solution should be autoclaved once all components are added.\""
"\"Autofocus\",\"Indicates if the microscope is fitted with an Autofocus feature to automatically find the focal plane of a sample.\""
"\"AutosamplerSyringeMaxVolume\",\"Maximum volume of the autosampler syringe.\""
"\"AutosamplerTubingDeadVolume\",\"The total volume of the tubes that connect the ends of the sample loop in the autosampler to the injection valve of the FPLC instrument.\""
"\"AvailableGases\",\"The gases whose levels can be controlled in the atmosphere inside the plate reader.\""
"\"AvailableLayouts\",\"Readily available configurations of container models in specified positions on the deck of this instrument model.\""
"\"AverageDropletVolume\",\"The volumetric size of discrete partitions generated from sample.\""
"\"BalancePositions\",\"A list of pairs of positions (corresponding to the Positions field) that are directly across from one another in the rotor.\""
"\"BarcodeReader\",\"The model of the barcode scanner that can be used with this model of capillary ELISA device for scanning kit information QR codes into the capillary ELISA software.\""
"\"Barcode\",\"Indicates if this cap should have a barcode sticker placed on it. If caps are not barcoded, they are placed on a cap rack (which is barcoded) whenever they are taken off of containers. Caps must be barcoded if they are over 54mm (the diameter of a GL45 cap, which is the largest cover that we can fit on our cap racks). If set to Null, indicates that the cap is not barcoded.\""
"\"Barcode\",\"Indicates if this cap type is big enough to have a barcode sticker. Septa should be barcoded if they are longer than 4.1 cm (the size of ECL identification stickers). If covers are too small to be stickered, they will be placed on a cover rack and will be identified by the sticker on the cover rack.\""
"\"Base\",\"Indicates if items of this model are strong bases (pH >= 12) and require dedicated secondary containment during storage.\""
"\"Base\",\"Indicates if samples of this model are strong bases (pH >= 12) and require dedicated secondary containment during storage.\""
"\"Base\",\"Indicates if this storage condition is meant to contain base samples requiring dedicated secondary containment.\""
